Conver,Conver,corr,corr,Diction,Diction,DisVoice,DisVoice,LIWC,LIWC,OpenSmile,OpenSmile
,,F16_affectby_F21,0.0008210075850887165,,,DMFCCoff4_ku,0.10795029865971711,,,voiceProb_sma_quartile3_mean,0.0014650266890117887
,,F62_affectby_F21,0.0008210075850887165,,,DMFCCon11_std,0.10996321961409813,,,mfcc_sma[6]_max_max,0.001480470149777692
,,F15_affectby_F22,0.0008210075850887165,,,MFCCon10_ku,0.11064074575901009,,,mfcc_sma[9]_minPos_std,0.0014960634933675523
,,F13_affectby_F12,0.0008210075850887165,,,DMFCCoff11_ku,0.11132156432223993,,,mfcc_sma[7]_linregc2_min,0.0014960634933675523
,,F81_affectby_F17,0.0008300499100413527,,,MFCCoff1_mean,0.11200568498618446,,,mfcc_sma[1]_linregerrQ_mean,0.001511808029052196
,,F19_affectby_F20,0.000839184546705253,,,DMFCCon8_std,0.11269311741908054,,,lspFreq_sma[0]_minPos_std,0.0015437559632927684
,,F83_affectby_F6,0.000839184546705253,,,MFCCon10_std,0.11477538179424053,,,mfcc_sma_de[1]_linregerrA_std,0.0015437559632927684
,,F62_affectby_F16,0.000839184546705253,,,DMFCCon3_sk,0.11688779871540272,,,F0_sma_max_mean,0.0015928451089162999
,,F82_affectby_F80,0.0008766634597375907,,,DDMFCCoff6_sk,0.11688779871540272,,,mfcc_sma[11]_range_mean,0.0015928451089162999
,,F2_affectby_F84,0.0008862726537737558,,,DMFCCon5_std,0.12047620084803858,,,mfcc_sma[1]_maxPos_std,0.0015928451089162999
,,F82_affectby_F83,0.0008959794088094714,,,DMFCCoff8_ku,0.1212041230104642,,,mfcc_sma_de[11]_quartile1_max,0.0016095248497861425
,,F17_affectby_F22,0.0009057846248307956,,,DMFCCoff10_mean,0.12193548118483057,,,mfcc_sma_de[11]_linregc2_std,0.0016263652278616166
,,F61_affectby_F19,0.0009156892091255941,,,MFCCon12_sk,0.12267028480514831,,,F0_sma_minPos_std,0.0016778641377089532
,,F83_affectby_F52,0.0009256940763316755,,,rvuv,0.12365617914946728,,,mfcc_sma_de[12]_linregerrQ_mean,0.0016778641377089532
,,F16_affectby_F12,0.0009256940763316755,,,BBEon2_std,0.12791117094187243,,,mfcc_sma[12]_quartile2_max,0.0016865816090832248
,,F55_affectby_F85,0.0009460083550754246,,,DDMFCCoff3_std,0.13176007955948688,,,lspFreq_sma[5]_skewness_min,0.0017308180832952087
,,F59_affectby_F21,0.0009772551890735587,,,BBEon21_sk,0.132540523191413,,,mfcc_sma[11]_linregc1_std,0.0017308594495066508
,,F3_affectby_F84,0.0009878813789624156,,,DMFCCon9_sk,0.133324542153782,,,mfcc_sma_de[10]_linregc2_std,0.001748863794236363
,,F67_affectby_F67,0.0009878813789624156,,,F0varsemi,0.13569814196552943,,,mfcc_sma[6]_quartile1_min,0.0017670401902689693
,,F77_affectby_F67,0.0009878813789624156,,,sF0,0.13569814196552943,,,mfcc_sma[11]_iqr1-3_mean,0.0017853901123050116
,,F11_affectby_F67,0.0009986144641797488,,,BBEoff22_sk,0.13649655306663278,,,mfcc_sma[3]_quartile3_min,0.0017853901123050116
,,F61_affectby_F70,0.0009986144641797488,,,DMFCCon1_ku,0.13810424608603367,,,mfcc_sma[11]_iqr1-2_max,0.0018039150459038013
,,F11_affectby_F62,0.0010314648830749642,,,DDMFCCoff11_std,0.13810424608603367,,,mfcc_sma_de[1]_linregerrA_mean,0.0018039150459038013
,,F35_affectby_F21,0.0010653129386481066,,,BBEoff3_std,0.13810424608603367,,,mfcc_sma_de[1]_min_mean,0.0018226164875458026
